id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
70666,70890.0,,,Gl 551,,Proxima Centauri,14.495985,-62.679485,1.2959,-3775.64,768.16,-16.0,11.01,15.447,M5Ve,1.807,-0.472264,-0.361451,-1.151219,-1.186e-05,2.079e-05,1.675e-05,3.795039916831576,-1.09396338473328,-1.83048192485e-05,3.724144768e-06,,,Cen,1,70666,,5.77032135333e-05,V645,11.079,10.939
71453,71681.0,128621.0,5460.0,Gl 559B,Alp2Cen,Toliman,14.660346,-60.8383,1.3248,-3678.19,481.84,-26.2,1.35,5.739,K1V,0.9,-0.495181,-0.413973,-1.156674,-7.22e-06,2.476e-05,2.491e-05,3.838069570777228,-1.0618286487704176,-1.78323683168e-05,2.336026238e-06,Alp-2,,Cen,2,71456,Gl 559,0.4409608164506375,,,
71456,71683.0,128620.0,5459.0,Gl 559A,Alp1Cen,Rigil Kentaurus,14.660765,-60.833976,1.3248,-3678.19,481.84,-26.2,-0.01,4.379,G2V,0.71,-0.495203,-0.414084,-1.156625,-7.22e-06,2.476e-05,2.491e-05,3.838179211777228,-1.0617531757704175,-1.78323683168e-05,2.336026238e-06,Alp-1,,Cen,1,71456,Gl 559,1.543121065657792,,0.113,-0.087
87665,87937.0,,,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,-797.84,9999.99,-111.0,9.54,13.235,sdM4,1.57,-0.017373,-1.816613,0.149123,-5.91e-06,0.0001204,7.888e-05,4.702826031672147,0.0819150787324337,-3.8680374689e-06,5.0066369421e-05,,,Oph,1,87665,,0.0004425883723626,V2500,9.59,9.49
118720,,,,Gl 406,,Wolf 359,10.941484,7.01532,2.3906,-3822.95,-2716.83,13.0,13.45,16.557,M6,2.0,-2.282811,0.649334,0.292057,-4.33e-06,4.728e-05,-2.961e-05,2.8644736867699603,0.12244043730895,-1.85341846008e-05,-1.3171553821e-05,,,Leo,1,118720,,2.0758692705e-05,,,
53879,54035.0,95735.0,,Gl 411,,Lalande 21185,11.055632,35.969877,2.5469,-580.2,-4767.09,-84.3,7.49,10.46,M2V,1.502,-1.998,0.504305,1.495504,3.587e-05,-1.66e-06,-9.828e-05,2.894357577221472,0.627792793335765,-2.8128889746e-06,-2.3111504484e-05,,,UMa,1,53879,,0.0057016427228074,,,
118080,,,,Gl 65B,,,1.650199,-17.949782,2.6267,3312.95,560.34,32.0,12.7,15.603,dM5.5e,,2.270631,1.047031,-0.81001,1.265e-05,5.226e-05,-3.3e-06,0.4320210687414983,-0.31328279826635,1.606163483e-05,2.716614673e-06,,,Cet,2,118079,Gl  65,4.99804313578e-05,,,
118079,,,,Gl 65A,,,1.650199,-17.949782,2.6267,3312.95,560.34,29.0,12.57,15.473,dM5.5e,1.85,2.270499,1.04697,-0.809963,1e-05,5.104e-05,-2.36e-06,0.4320210687414983,-0.31328279826635,1.606163483e-05,2.716614673e-06,,,Cet,1,118079,Gl  65,5.63378150851e-05,,,
118441,,,,Gl 244B,,,6.752559,-16.71524,2.6371,-543.2,-1203.05,0.0,8.44,11.334,DA2,-0.03,-0.494379,2.476814,-0.75847,7.68e-06,-2.97e-06,-1.473e-05,1.7678158456043611,-0.291735967034,-2.6335079128e-06,-5.83256068e-06,,,CMa,2,32263,Gl 244,0.0025491770505091,,,
32263,32349.0,48915.0,2491.0,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,9.53e-06,-1.207e-05,-1.221e-05,1.7677953696021995,-0.291751258517685,-2.6471311772e-06,-5.929659164e-06,Alp,9.0,CMa,1,32263,Gl 244,22.824433121735037,,-1.333,-1.523
92115,92403.0,,,Gl 729,,Ross 154,18.830369,-23.836232,2.9698,637.55,-192.47,-12.1,10.37,13.006,M3.5Ve,1.51,0.585883,-2.652454,-1.200123,6.28e-06,1.413e-05,2.47e-06,4.929779029634179,-0.4160207358077875,3.0909296204e-06,-9.3312089e-07,,,Sgr,1,92115,,0.0005465123745199,V1216,10.408,10.338
119585,,,,Gl 905,,Ross 248,23.698379,44.174924,3.1686,84.26,-1607.79,-77.7,12.29,14.786,dM6  e,1.9,2.262649,-0.179022,2.205274,-3.953e-05,4.43e-06,-7.31e-05,6.204221151200362,0.77099787597905,4.085040072e-07,-7.794800419e-06,,,And,1,119585,,0.0001060718149635,,,
16496,16537.0,22049.0,1084.0,Gl 144,18Eps Eri,Ran,3.548848,-9.458262,3.2161,-976.44,17.97,16.9,3.72,6.183,K2V,0.881,1.89897,2.541426,-0.528523,2.243e-05,4.58e-06,-2.56e-06,0.9290861752463538,-0.1650778156910925,-4.7339147024e-06,8.7121018e-08,Eps,18.0,Eri,1,16496,,0.2929543829769431,Eps,3.735,3.715
113687,114046.0,217987.0,,Gl 887,,Lacaille 9352,23.097531,-35.853073,3.2759,6767.26,1326.66,9.5,7.35,9.773,M2/M3V,1.483,2.581532,-0.621353,-1.918773,4.484e-05,9.974e-05,1.138e-05,6.046919538269939,-0.6257541624947276,3.28086022788e-05,6.431829174e-06,,,PsA,1,113687,,0.0107349493580523,,,
57375,57548.0,,,Gl 447,,Ross 128,11.795666,0.804563,3.3553,605.62,-1219.23,-31.1,11.12,13.491,M4.5V,1.746,-3.349892,0.179372,0.047111,3.095e-05,-1.152e-05,-2.028e-05,3.0880980421253565,0.0140422688039262,2.9361286122e-06,-5.910993837e-06,,,Vir,1,57375,,0.0003496230040027,,11.171,11.041
119518,,,,Gl 866A,,EZ Aqr,22.642562,-15.302542,3.3979,2361.37,2233.03,-60.0,12.66,15.004,M5  e,1.98,3.069893,-1.139264,-0.895949,-3.28e-05,5.369e-05,5.17e-05,5.927808781240427,-0.26707974928385,1.14482448085e-05,1.0826054323e-05,,,Aqr,1,119518,Gl 866,8.67760744991e-05,,,
91487,91772.0,173740.0,,Gl 725B,,Struve 2398 B,18.713249,59.626847,3.4545,-1393.2,1845.73,1.2,9.7,12.008,K5,1.561,0.324167,-1.716358,2.980381,-2.776e-05,2.126e-05,1.669e-05,4.899117170788272,1.0406847970760271,-6.7544241975e-06,8.948351546e-06,,,Dra,2,91484,Gl 725,0.0013702505971242,,,
103879,104214.0,201091.0,8085.0,Gl 820A,61    Cyg,,21.114794,38.749415,3.4865,4155.1,3258.9,-64.8,5.2,7.488,K5V,1.069,1.979356,-1.863636,2.181892,-1.456e-05,0.0001102,1.49e-06,5.527840164315857,0.6763048804390562,2.01444932408e-05,1.5799593035e-05,,61.0,Cyg,1,103879,Gl 820,0.0880643228418064,V1803,5.682,5.002
118493,,,,Gl 280B,,,7.655006,5.226824,3.4974,-702.34,-1021.92,0.0,10.7,12.981,DA,,-1.462274,3.161021,0.31861,1.014e-05,6.44e-06,-1.725e-05,2.0040759299798,0.09122528157145,-3.405040404e-06,-4.954388571e-06,,,CMi,2,37173,Gl 280,0.0005592422830409,,,
103883,104217.0,201092.0,8086.0,Gl 820B,61    Cyg,,21.115163,38.742055,3.498,4107.4,3143.72,-64.3,6.05,8.331,K7V,1.309,1.986273,-1.869789,2.188742,-1.387e-05,0.00010874,4.4e-07,5.527936854824758,0.6761764153655825,1.99132371151e-05,1.5241184638e-05,,61.0,Cyg,2,103879,Gl 820,0.0405135220229263,,,
37173,37279.0,61421.0,2943.0,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4.0,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,1.212e-05,2.89e-06,-1.792e-05,2.004083041242831,0.09119333187796,-3.4740293908e-06,-5.015785376e-06,Alp,10.0,CMi,1,37173,Gl 280,7.4404636619191935,,,
117979,,,,Gl 15B,,,0.30516,44.023502,3.568,2880.25,415.05,11.3,11.06,13.298,M6 Ve,1.79,2.557764,0.20548,2.479994,-6.3e-07,4.993e-05,1.319e-05,0.07989071130171,0.76835505395905,1.39638460342e-05,2.012219181e-06,,,And,2,1472,Gl  15,0.000417637992951,,,
91484,91768.0,173739.0,,Gl 725A,,Struve 2398 A,18.713179,59.630396,3.5691,-1326.88,1802.12,-0.8,8.94,11.177,K5,1.504,0.334856,-1.773105,3.079349,-2.763e-05,2.258e-05,1.506e-05,4.89909872516206,1.040746744087625,-6.4328957646e-06,8.7369243e-06,,,Dra,1,91484,Gl 725,0.0029457779023394,,9.149,8.809
1472,1475.0,1326.0,,Gl 15A,,Groombridge 34,0.306174,44.022954,3.5873,2888.92,410.58,12.0,8.09,10.316,M1V,1.56,2.571275,0.20667,2.493057,-1.7e-07,5.039e-05,1.366e-05,0.0801562054445776,0.7683454902950787,1.40058793803e-05,1.990548009e-06,,,And,1,1472,Gl  15,0.0065102849843486,GX,8.125,8.065
108526,108870.0,209100.0,8387.0,Gl 845,Eps Ind,,22.055486,-56.785977,3.6224,3959.97,-2538.84,-40.4,4.69,6.895,K5V,1.056,1.732589,-0.966715,-3.030307,-1.843e-05,8.993e-05,1.014e-05,5.774112723667677,-0.9911022626319111,1.91984763059e-05,-1.2308643647e-05,Eps,,Ind,1,108526,,0.1520547529732495,,,
118541,,,,GJ 1111,,,8.497244,26.778532,3.6258,-1141.11,-601.64,-5.0,14.81,17.013,M6.5,2.06,-1.968452,2.569351,1.633464,1.58e-05,1.236e-05,-1.174e-05,2.2245732101304907,0.46737355483345,-5.5322573902e-06,-2.916823331e-06,,,Cnc,1,118541,,1.36395486751e-05,,,
8087,8102.0,10700.0,509.0,Gl 71,52Tau Cet,,1.734479,-15.93748,3.6502,-1721.82,854.07,-17.0,3.49,5.678,G8V,0.727,3.154083,1.539508,-1.00226,2.07e-06,-3.289e-05,1.931e-05,0.4540854403344977,-0.2781615013282412,-8.3476189145e-06,4.140648201e-06,Tau,52.0,Cet,1,8087,,0.4664445252037795,,,
5632,5643.0,,,Gl 54.1,,,1.208502,-16.998967,3.6899,1210.09,646.95,28.0,12.1,14.265,M5.5Ve,1.85,3.353772,1.097975,-1.078832,2.251e-05,3.014e-05,2.69e-06,0.3163851484663366,-0.2966879456065725,5.866681867e-06,3.136502106e-06,,,Cet,1,5632,,0.0001713957307508,YZ,12.201,12.001
82472,82724.0,,,,,,16.908863,-62.399734,3.6964,294.47,205.48,0.0,11.85,14.011,Mp,1.729,-0.482554,-1.64315,-3.275755,4.14e-06,-4.62e-06,1.71e-06,4.426729956769895,-1.0890808122924376,1.4276308451e-06,9.9619515e-07,,,Ara,1,82472,,0.000216570849471,,,
36107,36208.0,,,Gl 273,,Luyten's Star,7.456805,5.225785,3.8026,571.27,-3694.25,18.2,9.84,11.94,M5,1.573,-1.409549,3.514856,0.346358,-1.899e-05,1.905e-05,-6.612e-05,1.952186961957238,0.0912071574928112,2.7695951129e-06,-1.7910229393e-05,,,CMi,1,36107,,0.0014588142602753,,,
24129,24186.0,33793.0,,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,6506.05,-5731.39,245.5,8.86,10.898,M0V,1.543,0.578997,2.705174,-2.76822,-9.951e-05,0.0001243,-0.00025439,1.359830239429058,-0.7857196034245437,3.15422204638e-05,-2.7786562805e-05,,,Pic,1,24129,,0.0038089037649813,VZ,9.148,8.828
104751,105090.0,202560.0,,Gl 825,,Lacaille 8760,21.287725,-38.867362,3.9462,-3259.0,-1146.99,28.2,6.69,8.709,M1/M2V,1.397,2.330004,-2.003156,-2.476477,-3.405e-05,-5.295e-05,-3.518e-05,5.573113374318819,-0.6783634426887974,-1.58000778493e-05,-5.560764434e-06,,,Mic,1,104751,,0.0286022369395428,AX,6.707,6.667
110547,110893.0,239960.0,,Gl 860A,,Kruger 60,22.466642,57.695875,4.001,-870.23,-471.1,-33.3,9.59,11.579,M2V,1.613,1.968033,-0.83547,3.381486,-1.624e-05,-1.144e-05,-3.367e-05,5.881753022801692,1.0069829823740712,-4.2189940923e-06,-2.283957249e-06,,,Cep,1,110547,Gl 860,0.0020342297432117,DO,9.628,9.548
119505,,,,Gl 860B,,,22.467267,57.696623,4.0077,-854.68,-391.3,-31.7,11.3,13.286,M6 V,1.8,1.97065,-0.836546,3.386059,-1.651e-05,-1.103e-05,-3.147e-05,5.881916686721751,1.0069960424762,-4.143605565e-06,-1.897090476e-06,,,Cep,2,110547,Gl 860,0.0004222795013061,,,
118428,,,,Gl 234B,,,6.489939,-2.812227,4.1171,702.48,-697.59,0.0,14.6,16.527,,,-0.526003,4.078362,-0.201997,-1.382e-05,-2.47e-06,-1.391e-05,1.6990621179571583,-0.04908262386045,3.4057191432e-06,-3.381997209e-06,,,Mon,2,30847,Gl 234,2.13402744285e-05,,,
30847,30920.0,,,Gl 234A,,Ross 614,6.489833,-2.813979,4.1268,694.73,-618.62,16.7,11.12,13.042,M4.5Ve,1.69,-0.527146,4.088126,-0.202607,-1.589e-05,1.454e-05,-1.32e-05,1.6990344172782257,-0.0491131976009125,3.3681460829e-06,-2.99915439e-06,,,Mon,1,30847,Gl 234,0.0005286886658509,V577,11.176,11.066
82473,82725.0,,,,,,16.908971,-62.403319,4.1465,254.79,173.56,0.0,11.72,13.632,,,-0.541199,-1.843027,-3.674755,4.04e-06,-4.41e-06,1.62e-06,4.426758283496796,-1.0891433883770487,1.2352567767e-06,8.41442623e-07,,,Ara,1,82473,,0.000307043565073,,12.005,11.545
3820,3829.0,,,Gl 35,,Van Maanen's Star,0.819416,5.38861,4.2626,1233.05,-2710.56,54.0,12.37,14.222,DG,0.554,4.146957,0.903519,0.400348,5.345e-05,3.772e-05,-5.057e-05,0.2145225144570207,0.0940489788001337,5.9779950881e-06,-1.3141165699e-05,,,Psc,1,3820,,0.0001783199772233,,12.621,12.091
118236,,,,GJ 1061,,,3.599704,-44.511897,4.2918,727.33,-399.86,-20.0,13.03,14.867,M4.5,1.9,1.798507,2.475398,-3.00808,-2.425e-05,-7.62e-06,8.41e-06,0.9424003527671392,-0.7768791555871,3.5261953428e-06,-1.938551742e-06,,,Hor,1,118236,,9.8446436398e-05,,,
80579,80824.0,,,Gl 628,,Wolf 1061,16.505017,-12.662594,4.2922,-93.61,-1184.9,-13.0,10.1,11.937,M4,1.604,-1.597477,-3.871023,-0.940865,5.21e-06,1.773e-05,-2.114e-05,4.321003264951744,-0.221003949876375,-4.538340864e-07,-5.7445573e-06,,,Oph,1,80579,,0.0014628506869998,V2306,10.143,10.063
118830,,,,Gl 473A,,,12.554778,9.020714,4.3066,-1794.92,233.12,0.0,13.04,14.869,dM5.5eJ,1.83,-4.208555,-0.615564,0.675238,-4.68e-06,3.719e-05,4.81e-06,3.2868331121142487,0.1574411648826,-8.702017715e-06,1.130197652e-06,,,Vir,1,118830,Gl 473,9.8265258283e-05,,,
118831,,,,Gl 473B,,,12.554778,9.020714,4.3066,-1794.92,233.12,0.0,13.3,15.129,M7,,-4.208555,-0.615564,0.675238,-4.68e-06,3.719e-05,4.81e-06,3.2868331121142487,0.1574411648826,-8.702017715e-06,1.130197652e-06,,,Vir,2,118830,Gl 473,7.73392578049e-05,,,
442,439.0,225213.0,,Gl 1,,,0.089883,-37.357364,4.3399,5634.07,-2337.94,22.9,8.56,10.373,M2V,1.462,3.448844,0.081384,-2.633508,-1.398e-05,0.00011824,-5.331e-05,0.0235313919936556,-0.6520089932134262,2.73147421321e-05,-1.1334652963e-05,,,Scl,1,442,,0.0061773185859152,,,
118583,,,,GJ 3522,,,8.982236,8.475397,4.4643,322.61,-313.72,0.0,10.89,12.641,k,1.67,-3.107711,3.136747,0.657969,-5.66e-06,-4.2e-06,-6.72e-06,2.3515438628707424,0.14792357815645,1.5640574148e-06,-1.520976871e-06,,,Cnc,1,118583,,0.0007648917910071,,,
